Nombre,Precio,HoraInicio,HoraFin,ValidoHabitacion,Ventas
Hamburguesa,5.99,12/00,23/00,true,40
Pizza,7.99,12/00,23/00,true,35
Papas Fritas,4.99,12/00,23/00,true,50
Perro Caliente,5.99,12/00,23/00,true,30
Nachos,3.99,12/00,23/00,true,20
Ensalada Cesar,7.99,12/00,18/00,false,10
Ensalada de Frutas,3.99,6/00,12/00,false,25
Omelet,4.99,6/00,12/00,false,15
Huevos Fritos,3.99,6/00,12/00,false,20
Huevos Revueltos,3.99,6/00,12/00,false,25
Mojito,12.49,14/00,00/00,false,14
Margarita,14.49,14/00,00/00,false,20
Coca-Cola,3.99,00/00,00/00,true,10
Agua,3.99,00/00,00/00,true,15
Cerveza,4.99,00/00,00/00,true,10
